=  Beijing Sinobo Guoan - Chinese Super League 2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Hou Sen, CHN, G, 1.88, 71, 30-06-89, Beijing, None
2, Kim Min-Jae, KOR, D, 1.88, 78, 15-11-96, Tongyeong, Jeonbuk Hyundai Motors
3, Yu Yang, CHN, D, 1.83, 72, 06-08-89, Tianjin, Guangzhou R&F
4, Li Lei, CHN, D, 1.83, 73, 30-05-92, Qingdao, Henan Jianye
5, Renato Augusto, BRA, M, 1.85, 81, 08-02-88, Rio de Janeiro, Corinthians
6, Chi Zhongguo, CHN, M, 1.70, 65, 26-10-89, Yanji, Yanbian Funde
7, John Hou Sæter, NOR, M, 1.78, 67, 13-01-98, Trondheim, Stabæk
8, Piao Cheng, CHN, M, 1.76, 67, 21-08-89, Yanbian, Yanbian
9, Zhang Yuning, CHN, F, 1.83, 69, 05-01-97, Wenzhou, WBA
10, Zhang Xizhe, CHN, M, 1.76, 68, 23-01-91, Wuhan, Wolfsburg
11, Fernando, BRA, M, 1.75, 80, 03-03-92, Erechim, Spartak Moscow
14, Zou Dehai, CHN, G, 1.87, 79, 27-02-93, Dalian, Zhejiang Greentown
16, Jin Pengxiang, CHN, D, 1.90, 74, 25-01-90, Dalian, Dalian Aerbin
17, Cédric Bakambu, COD, F, 1.82, 73, 11-04-91, Vitry-Sur-Seine, Villarreal
18, Jin Taiyan, CHN, M, 1.73, 62, 21-08-89, Yanji, Liaoning Whowin
19, Alan, BRA, F, 1.82, 72, 10-07-89, José Bonifácio, Guangzhou Evergrande
20, Wang Ziming, CHN, F, 1.87, 76, 05-08-96, Qingdao, Qingdao Jonoon
21, Jonathan Viera, ESP, M, 1.71, 66, 21-10-89, Las Palmas, Las Palmas
22, Yu Dabao, CHN, D, 1.83, 78, 18-04-88, Qingdao, Dalian Aerbin
23, Nico Yennaris, CHN, M, 1.70, 65, 23-05-93, Leytonstone, Brentford
24, Yang Fan, CHN, D, 1.81, 68, 28-03-96, Xuzhou, Tianjin Teda
25, Guo Quanbo, CHN, G, 1.83, 62, 31-08-97, Tianmen, None
26, Lü Peng, CHN, M, 1.80, 75, 28-10-89, Dalian, Beijing Enterprises Group
27, Wang Gang, CHN, D, 1.87, 78, 17-02-89, Tianjin, Beijing Renhe
28, Jiang Tao, CHN, D, 1.81, 76, 28-06-89, Zibo, Qingdao Huanghai
29, Ba Dun, CHN, M, 1.79, 67, 16-09-95, Yantai, None
32, Liu Guobo, CHN, M, 1.89, 65, 27-12-99, Beijing, Shanghai SIPG
33, Ma Kunyue, CHN, G, 1.90, 75, 27-04-01, Beijing, None
39, Wen Da, CHN, F, 1.83, 70, 25-10-99, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
40, Wang Congming, CHN, D, 1.78, 70, 16-02-99, -, Suzhou Dongwu
