=  Beijing Sinobo Guoan - Chinese Super League 2018

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Hou Sen, CHN, G, 1.88, 71, 30-06-89, Beijing, None
2, Zheng Yiming, CHN, D, 1.85, 77, 24-01-97, Danzhou, Guangzhou Evergrande
3, Yu Yang, CHN, D, 1.83, 72, 06-08-89, Tianjin, Guangzhou R&F
4, Li Lei, CHN, D, 1.83, 73, 30-05-92, Qingdao, Henan Jianye
5, Renato Augusto, BRA, M, 1.85, 81, 08-02-88, Rio de Janeiro, Corinthians
6, Chi Zhongguo, CHN, M, 1.70, 65, 26-10-89, Yanji, Yanbian Funde
7, Wei Shihao, CHN, F, 1.77, 64, 08-04-95, Bengbu, Leixões
8, Piao Cheng, CHN, M, 1.76, 67, 21-08-89, Yanbian, Yanbian
9, Jonathan Soriano, ESP, F, 1.80, 75, 24-09-85, El Pont de Vilomara i Rocafort, Red Bull Salzburg
10, Zhang Xizhe, CHN, M, 1.76, 68, 23-01-91, Wuhan, Wolfsburg
11, Hu Yanqiang, CHN, M, 1.78, 63, 20-03-93, Benxi, Liaoning Whowin
15, Liu Huan, CHN, D, 1.83, 72, 14-02-89, Beijing, Chongqing Lifan
17, Cédric Bakambu, COD, F, 1.82, 73, 11-04-91, Vitry-Sur-Seine, Villarreal
18, Jin Taiyan, CHN, M, 1.73, 62, 21-08-89, Yanji, Liaoning Whowin
19, Yu Dabao, CHN, F, 1.83, 78, 18-04-88, Qingdao, Dalian Aerbin
20, Wang Ziming, CHN, F, 1.87, 76, 05-08-96, Qingdao, Qingdao Jonoon
21, Ning Weichen, CHN, F, 1.85, 75, 18-03-97, Liaoning, Cova da Piedade
22, Yang Zhi, CHN, G, 1.86, 78, 15-01-83, Guangzhou, Guangdong Xiongying
23, Jonathan Viera, ESP, M, 1.71, 66, 21-10-89, Las Palmas, Las Palmas
24, Zhang Yu, CHN, D, 1.88, 74, 07-05-94, Beijing, None
25, Guo Quanbo, CHN, G, 1.83, 62, 31-08-97, Tianmen, None
26, Lü Peng, CHN, M, 1.80, 75, 28-10-89, Dalian, Beijing Enterprises Group
27, Zhu Chaoqing, CHN, F, 1.76, 65, 28-02-95, Heze, None
28, Jiang Tao, CHN, D, 1.81, 76, 28-06-89, Zibo, Qingdao Huanghai
29, Ba Dun, CHN, M, 1.79, 67, 16-09-95, Yantai, None
30, Lei Tenglong, CHN, M, 1.83, 70, 17-01-91, Wuhan, None
31, Li Siqi, CHN, M, 1.76, 54, 30-08-97, Beijing, None
32, Liu Guobo, CHN, M, 1.89, 65, 27-12-99, Beijing, Shanghai SIPG
33, Chi Wenyi, CHN, G, 1.83, 70, 18-02-88, Yanji, Yanbian Funde
36, Wang Xiaole, CHN, M, 1.76, 58, 08-01-97, , None
45, Xue Mengtao, CHN, D, 1.79, 64, 04-05-97, Beijing, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Jin Pengxiang, CHN, D, 1.90, 74, 25-01-90, Dalian, Dalian Yifang (On Loan)
35, Zhang Yan, CHN, G, 1.84, 78, 30-03-97, Beijing, Jiangsu Suning
