=  St Johnstone - Scottish Premier League 1998/99

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Alan Main, G, 6'00", 12 13, 05-12-67, Elgin, Dundee U
2, John McQuillan, D, 5'10", 11 07, 20-07-70, Stranraer, Dundee
3, Allan Preston, D, 5'10", 11 07, 16-08-69, Edinburgh, Hearts
4, Nick Dasovic, M, 6'01", 12 04, 05-12-68, Vancouver, Trelleborg
5, Jim Weir, D, 6'01", 12 05, 16-06-69, Motherwell, Hearts
6, Alan Kernaghan, D, 6'02", 13 07, 25-04-67, Otley, Manchester C
8, John O'Neil, M, 5'08", 11 07, 06-07-71, Bellshill, Dundee U
9, Roddy Grant, F, 5'11", 12 07, 16-09-66, Gloucester, Partick Th
10, George O'Boyle, F, 5'08", 11 09, 14-12-67, Belfast, Dunfermline Ath
11, Paul Kane, M, 5'10", 11 00, 20-06-75, Edinburgh, Viking
12, Gerry McMahon, F, 5'11", 11 07, 29-12-73, Belfast, Stoke C
14, Paddy Connelly, F, 5'10", 11 00, 25-06-70, Glasgow, Airdrieonians
15, Gary Bollan, D, 5'11", 12 12, 24-03-73, Dundee, Rangers
16, Danny Griffin, D, 5'10", 10 02, 10-08-77, Belfast, St Andrews, Belfast
17, Keith O'Halloran, M, 5'10", 12 05, 27-03-77, Ireland, Middlesbrough
18, Stephen Robertson, G, 5'10", 11 13, 16-03-77, Glasgow, Ashfield Juniors
19, Stuart McCluskey, D, 5'11", 11 07, 29-10-77, Bellshill, S Form
20, John-Paul McBride, M, 5'10", 10 02, 28-11-78, Hamilton, Celtic
21, Andy Whiteford, D, 5'10", 11 07, 22-08-77, Bellshill, Possil YMCA
22, Allan Ferguson, G, 5'11", 12 07, 21-03-69, Lanark, Hamilton Acc
23, Kieran McAnespie, M, 5'08", 11 07, 11-09-69, Gosport, St Johnstone BC
24, Darren Dods, D, 6'01", 13 02, 07-06-75, Edinburgh, Hibernian
25, Charles King, F, 5'07", 10 02, 15-11-79, Edinburgh, Celtic BC
26, Stuart Malcolm, D, 6'01", 12 05, 20-08-79, Edinburgh, Hutchison Vale BC
27, Mark McCulloch, D, 5'08", 10 10, 14-03-80, Edinburgh, Musselburgh Ath
28, Nathan Lowndes, F, 6'00", 11 00, 02-06-77, Salford, Watford
29, Miguel Simão, F, 5'08", 11 04, 26-02-73, Porto, Desportivo das Aves
31, Keigan Parker, F, 5'07", 10 00, 08-06-82, Broxburn, St Johnstone BC

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Davide Xausa, M, 6'01", 12 09, 10-03-76, Vancouver, Dordrecht ‘90
7, Philip Scott, M, 5'09", 11 01, 14-11-74, Perth, Sheffield W
