=  Augsburg - German Bundesliga 2013/14

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Alex Manninger, AUT, G, 1.88, 84, 04-06-77, Salzburg, Juventus
2, Paul Verhaegh, NED, D, 1.78, 68, 01-09-83, Kronenberg, Vitesse
3, Ronny Philp, GER, D, 1.83, 78, 28-01-89, Sibiu, Jahn Regensburg
4, Dominik Reinhardt, GER, D, 1.88, 80, 19-12-84, Nuremburg, Nürnberg
5, Ragnar Klavan, EST, M, 1.86, 78, 30-10-85, Viljandi, AZ Alkmaar
6, Kevin Vogt, GER, M, 1.94, 80, 23-09-91, Bochum, Bochum
7, Halil Altıntop, TUR, F, 1.86, 82, 08-12-82, Gelsenkirchen, Trabzonspor
8, Raphael Holzhauser, AUT, M, 1.93, 85, 16-02-93, Wiener Neustadt, Stuttgart
9, Arkadiusz Milik, POL, F, 1.83, 73, 28-02-94, Tychy, Bayer Leverkusen
10, Daniel Baier, GER, M, 1.75, 73, 18-05-84, Cologne, Wolfsburg
11, Alexander Esswein, GER, F, 1.81, 76, 25-03-90, Worms, Nürnberg
13, Tobias Werner, GER, M, 1.77, 67, 19-07-85, Gera, Carl Zeiss Jena
14, Jan Morávek, CZE, M, 1.79, 71, 01-11-89, Prague, Schalke
16, Andreas Ottl, GER, M, 1.85, 77, 01-03-85, Munich, Hertha Berlin
17, Marcel de Jong, CAN, F, 1.74, 73, 15-10-86, New Market, Roda JC
18, Jan-Ingwer Callsen-Bracker, GER, D, 1.87, 81, 23-09-84, Schleswig, B Mönchengladbach
19, Matthias Ostrzolek, GER, D, 1.78, 71, 05-06-90, Bochum, Bochum
20, Hong Jeong-Ho, KOR, D, 1.86, 77, 12-08-89, Jeju, Jeju U
21, Dominik Kohr, GER, M, 1.83, 75, 31-01-94, Trier, Bayer Leverkusen
24, Ji Dong-Won, KOR, F, 1.87, 78, 28-05-91, Jeju, Sunderland
25, Raúl Bobadilla, ARG, F, 1.80, 82, 18-06-87, Formosa, Basel
28, André Hahn, GER, F, 1.85, 75, 13-08-90, Otterndorf, Kickers Offenbach
29, Maik Uhde, GER, D, 1.82, 70, 23-05-94, Schwabmünchen, None
30, Mohamed Amsif, MAR, G, 1.87, 81, 07-02-89, Düsseldorf, Schalke
31, Arif Ekin, TUR, F, 1.76, 69, 14-09-95, Augsburg, Bayern Munich
32, Raphael Framberger, GER, D, 1.79, 73, 06-09-95, Augsburg, None
33, Sascha Mölders, GER, F, 1.85, 79, 20-03-85, Essen, FSV Frankfurt
34, Bajram Nebihi, GER, F, 1.88, 88, 05-08-88, Mitrovica, Landsberg
35, Marwin Hitz, SUI, G, 1.92, 89, 18-09-87, St. Gallen, Wolfsburg
37, Ioannis Gelios, GRE, G, 1.90, 76, 24-04-92, Augsburg, None
39, Erik Thommy, GER, M, 1.74, 64, 20-08-94, Ulm, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
23, Aristide Bancé, BFA, F, 1.92, 90, 19-09-84, Abidjan, Fortuna Düsseldorf (On Loan)
11, Panagiotis Vlachodimos, GRE, F, 1.84, 74, 12-10-91, Stuttgart, Olympiakos
21, Mathias Fetsch, GER, F, 1.89, 81, 30-09-88, Malsch, Energie Cottbus (On Loan)
24, Michael Parkhurst, USA, D, 1.82, 72, 24-01-84, Providence, Columbus Crew
