=  GKS Belchatów - Polish Ekstraklasa 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Piotr Lech, G, 6'04", 14 02, 18-06-68, Kętrzyn, Górnik Zabrze
2, Piotr Klepczarek I, M, 5'11", 11 05, 13-08-82, Łódź, Kujawiak Włocławek
3, Rafał Grodzicki, D, 6'04", 14 05, 28-10-83, Kraków, Górnik Wieliczka
4, Jacek Popek, D, 6'00", 12 01, 20-08-78, Płock, Orlen Płock
5, Paweł Strąk, D, 6'02", 13 03, 24-03-83, Ostrowiec Świętokrzyski, Zagłębie Lubin
6, Edward Cecot, D, 6'02", 13 12, 01-07-74, Szczecin, Ruch Chorzów
7, Jacek Kuranty, M, 5'08", 11 03, 06-02-78, Tarnobrzeg, Siarka Tarnobrzeg
8, Tomasz Jarzębowski, M, 6'00", 12 04, 16-11-78, Warsaw, Legia Warszawa
9, Carlos Costly Molina, F, 6'03", 13 03, 17-07-82, San Pedro Sula, CD Platense
10, Łukasz Garguła, M, 5'10", 11 03, 25-02-81, Żagań, Polar Wrocław
11, Rafał Boguski, F, 5'08", 11 00, 09-06-84, Ostrołęka, Wisła Kraków
12, Łukasz Sapela, G, 6'01", 12 11, 21-09-82, , None
14, Marcin Truszkowski, F, 6'01", 12 08, 08-08-83, Ostrołęka, ŁKS Łomża
15, Dariusz Pietrasiak, D, 6'01", 12 11, 12-02-80, , KSZO Ostrowiec
16, Marcin Kowalczyk, D, 6'00", 12 13, 09-04-85, Wieruszów, Stal Głowno
17, Dawid Nowak, F, 5'10", 10 10, 30-11-84, Hrubieszów, Zdrój Ciechocinek
18, Bartosz Hinc, M, 6'00", 11 11, 20-06-77, Poznań, Widzew Łódź
19, Jakub Cieciura, M, 5'10", 11 00, 03-02-83, Lipsko, Radomiak Radom
20, Krzysztof Michalak, M, 5'09", 10 10, 15-04-87, , None
21, Marcin Komorowski, D, 6'01", 11 11, 17-04-84, , Sokół Aleksandrów Łódzki
22, Grzegorz Fonfara, D, 5'09", 11 00, 08-06-83, Katowice, GKS Katowice
23, Tomasz Wróbel, M, 5'06", 09 06, 10-07-82, Tarnów, Górnik Polkowice
24, Jakub Tosik, M, 5'10", 10 12, 21-05-87, , None
25, Mariusz Ujek, F, 6'00", 12 01, 06-12-77, Lubin, Zagłębie Sosnowiec
26, Rafał Misztal, G, 6'02", 14 00, 10-04-84, Pruszków, Świt Nowy Dwór
27, Łukasz Bocian, M, 5'10", 10 12, 29-05-88, , Włókniarz Pabianice
28, Artur Marciniak, M, 5'09", 10 03, 18-08-87, Poznań, Lech Poznań
30, Bartłomiej Chwalibogowski, M, 5'10", 11 00, 07-08-82, Kraków, Zagłębie Sosnowiec
33, Paweł Magdoń, D, 6'05", 13 08, 13-11-79, Dębica, Wisła Płock

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Radosław Matusiak, F, 6'00", 13 08, 01-01-82, Łódź, Palermo
