=  AZ Alkmaar - Dutch Eredivisie 2020/2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Marco Bizot, NED, G, 1.84, 85, 10-03-91, Zwaag, KRC Genk
2, Jonas Svensson, NOR, D, 1.70, 70, 06-03-93, Levanger, Rosenborg
3, Pantelis Hatzidiakos, GRE, D, 1.81, 70, 18-01-97, Rhodes, Panathinaikos
5, Owen Wijndal, NED, D, 1.78, 70, 28-11-99, Zaandam, Haarlem
6, Fredrik Midtsjø, NOR, M, 1.76, 70, 11-08-93, Stjørdal, Rosenborg
7, Calvin Stengs, NED, F, 1.82, 74, 18-12-98, Nieuw-Vennep, Haarlem
8, Teun Koopmeiners, NED, M, 1.83, 77, 28-02-98, Amsterdam, None
9, Myron Boadu, NED, F, 1.80, 67, 14-01-01, Amsterdam, None
10, Dani de Wit, NED, M, 1.83, 75, 28-01-98, Hoorn, Ajax
11, Jesper Karlsson, SWE, F, 1.71, 70, 25-07-98, Falkenberg, IF Elfsborg
15, Bruno Martins Indi, NED, D, 1.85, 74, 08-02-92, Barreiro, Stoke C
16, Hobie Verhulst, NED, G, 1.89, 78, 02-04-93, Amsterdam, Go Ahead Eagles
17, Zakaria Aboukhlal, NED, F, 1.78, 73, 18-02-00, Rotterdam, PSV Eindhoven
18, Håkon Evjen, NOR, M, 1.73, 70, 14-02-00, Narvik, Bodø/Glimt
20, Jordy Clasie, NED, M, 1.69, 66, 27-06-91, Haarlem, Southampton
21, Kenzo Goudmijn, NED, M, 1.73, 58, 18-12-01, Hoorn, None
22, Timo Letschert, NED, D, 1.88, 70, 25-05-93, Purmerend, Hamburg
23, Mohamed Taabouni, NED, M, 1.72, 68, 29-03-02, Haarlem, None
24, Tijjani Reijnders, NED, M, 1.78, 65, 29-07-98, Zwolle, PEC Zwolle
26, Yukinari Sugawara, JPN, D, 1.79, 69, 28-06-00, Toyokawa, Nagoya Grampus
27, Ramon Leeuwin, NED, D, 1.87, 72, 01-09-87, Amsterdam, Odense
28, Albert Guðmundsson, ISL, F, 1.77, 66, 15-06-97, Reykjavík, PSV Eindhoven
30, Mees Bakker, NED, G, 1.87, 84, 11-03-01, Heiloo, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, Oussama Idrissi, MAR, F, 1.83, 78, 26-02-96, Bergen op Zoom, Sevilla
29, Joris Kramer, NED, D, 1.90, 76, 02-08-96, Heiloo, SC Cambuur (On Loan)
19, Juan Castillo, NED, M, 1.80, 77, 13-01-00, Amsterdam, Chelsea
14, Ferdy Druijf, NED, F, 1.90, 84, 12-02-98, Uitgeest, Mechelen (On Loan)
25, Thijs Oosting, NED, M, 1.76, 71, 11-05-00, Emmen, RKC Waalwijk (On Loan)
4, Ron Vlaar, NED, D, 1.89, 80, 16-02-85, Hensbroek, Retired
