=  Racing Club - Argentinian Primera División 2007 Clausura

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, José Martínez Gullotta, G, 6'01", 13 01, 12-01-84, San Rafael, Juv. Antoniana (Salta)
2, Gustavo Cabral, D, 6'00", 11 11, 14-10-85, Isidro Casanova, None
3, Celso Equiviel, D, 5'09", 11 07, 20-03-81, General Artigas, San Lorenzo
4, Matías Sanchez, M, 5'08", 09 06, 10-08-87, Lomas de Zamora, None
5, Juan Manuel Torres, M, 5'07", 10 12, 20-06-85, Puerto Vilelas, None
6, Diego Crosa, D, 5'11", 12 11, 18-04-76, Rosario, Boca Juniors
7, Adrián Bastía, M, 5'10", 11 11, 20-12-78, Gobernador Crespo, Estudiantes (LP)
8, Sixto Peralta, M, 5'10", 11 07, 16-04-79, Comodoro Rivadavia, UANL Tigres
9, Facundo Sava, F, 5'11'', 12 08, 03-07-74, Ituzaingo, Lorca
10, Maximiliano Moralez, M, 5'03", 08 05, 27-02-87, Granadero Baigorria, None
11, Claudio López, F, 5'10", 11 11, 17-07-74, Córdoba, América
14, Diego Menghi, D, 6'01", 12 06, 17-05-85, Córdoba, None
15, Martín Romagnoli, M, 5'07", 11 00, 30-01-77, Leones, Quilmes
16, Luis Benítez, F, 6'01", 13 05, 14-02-85, Ezpeleta, None
17, Cristian Pellerano, M, 6'00", 11 11, 01-02-82, Capital Federal, Nueva Chicago
18, Martín Vitali, D, 5'07", 10 12, 11-11-75, Moreno, Getafe
19, Gustavo Bergessio, F, 5'10", 11 05, 20-07-84, Córdoba, Instituto (Córdoba)
20, Claudio Fileppi, M, 5'07", 10 10, 29-04-84, Posadas, None
21, Francisco Maciel, D, 5'10'', 11 07, 17-09-77, Buenos Aires, Mallorca
22, Sergio Romero, G, 6'03", 13 03, 22-02-87, Bernardo de Irigoyen, None
23, Ezequiel Miralles, F, 5'09", 11 07, 14-07-83, Bahía Blanca, Defensa y Justicia
24, Santiago Malano, F, 5'10", 11 11, 29-01-87, Mercedes, None
25, Gustavo Campagnuolo, G, 6'02", 12 11, 27-06-73, Buenos Aires, UANL Tigres
26, Fernando de la Fuente, M, 5'10", 11 05, 26-03-86, Sierra Grande, None
27, Miguel Romero, M, 5'11", 10 08, 14-12-79, Florida, Banfield
28, Pablo González, F, 5'11", 12 00, 28-05-85, Tandil, None
29, Franco Sosa, D, 5'10", 12 01, 04-04-81, Monteros, Gimnasia y Esgrima (Jujuy)
30, Nicolás Cabrera, M, 5'09", 10 10, 05-06-84, La Plata, Gimnasia y Esgrima (LP)
31, Claudio Yacob, M, 5'11", 11 07, 18-07-87, Carcarañá, None
32, Gabriel Mercado, D, 5'11", 11 07, 18-03-87, Puerto Madryn, None
33, Gonzalo García, D, 5'07", 10 01, 06-02-87, Capital Federal, None
